Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017,EconomyAvg_2015,EconomyAvg_2016,EconomyAvg_2017,FamilyAvg_2015,FamilyAvg_2016,FamilyAvg_2017,HealthLifeExpAvg_2015,HealthLifeExpAvg_2016,HealthLifeExpAvg_2017,FreedomAvg_2015,FreedomAvg_2016,FreedomAvg_2017,TrustGovtAvg_2015,TrustGovtAvg_2016,TrustGovtAvg_2017,GenerosityAvg_2015,GenerosityAvg_2016,GenerosityAvg_2017
Georgia,Central and Eastern Europe,4.297,4.252,4.285999775,0.045,-0.033999775,0.011000225,0.7419,0.83792,0.950612664,0.38562,0.19249,0.570614934,0.72926,0.64035,0.649546981,0.40577,0.32461,0.309410036,0.38331,0.3188,0.054008815,0.05547,0.06786,0.251666635
Uzbekistan,Central and Eastern Europe,6.003,5.987,5.971000195,0.016,0.015999805,0.031999805,0.63244,0.73591,0.786441088,1.34043,1.1681,1.54896915,0.59772,0.50163,0.498272628,0.65821,0.60848,0.658248663,0.30826,0.28333,0.415983647,0.22837,0.34326,0.246528223
Kazakhstan,Central and Eastern Europe,5.855,5.919,5.818999767,-0.064,0.100000233,0.036000233,1.12254,1.22943,1.28455627,1.12241,0.95544,1.384369016,0.64368,0.57386,0.606041551,0.51649,0.4052,0.437454283,0.08454,0.11132,0.201964423,0.11827,0.15011,0.119282886
Moldova,Central and Eastern Europe,5.889,5.897,5.837999821,-0.008,0.059000179,0.051000179,0.59448,0.69177,0.72887063,1.01528,0.83132,1.251825571,0.61826,0.52309,0.589465201,0.32818,0.25202,0.240729049,0.01615,0.01903,0.208779126,0.20951,0.19997,0.010091286
Slovenia,Central and Eastern Europe,5.848,5.768,5.757999897,0.08,0.010000103,0.090000103,1.18498,1.29947,1.341205955,1.27385,1.05613,1.452518821,0.87337,0.79151,0.790828228,0.60855,0.53164,0.572575808,0.03787,0.03635,0.242649093,0.25328,0.25738,0.045128979
Belarus,Central and Eastern Europe,5.813,5.802,5.568999767,0.011,0.233000233,0.244000233,1.03192,1.13062,1.15655756,1.23289,1.04993,1.444945216,0.73608,0.63104,0.637714267,0.37938,0.29091,0.295400262,0.1909,0.17457,0.155137509,0.11046,0.13942,0.156313822
Kyrgyzstan,Central and Eastern Europe,5.286,5.185,5.004000187,0.101,0.180999813,0.281999813,0.47428,0.56044,0.596220076,1.15115,0.95434,1.394238591,0.65088,0.55449,0.553457797,0.43477,0.40212,0.454943389,0.04232,0.04762,0.428580374,0.3003,0.38432,0.039439179
Kosovo,Central and Eastern Europe,5.589,5.401,5.278999805,0.188,0.122000195,0.310000195,0.80148,0.90145,0.951484382,0.81198,0.66062,1.137853503,0.63132,0.54,0.54145205,0.24749,0.14396,0.260287941,0.04741,0.06547,0.319931448,0.2831,0.27992,0.057471618
Albania,Central and Eastern Europe,4.959,4.655,4.644000053,0.304,0.010999947,0.314999947,0.87867,0.9553,0.996192753,0.80434,0.50163,0.803685248,0.81325,0.73007,0.731159747,0.35733,0.31866,0.381498635,0.06413,0.05301,0.201312944,0.14272,0.1684,0.039864216
Croatia,Central and Eastern Europe,5.759,5.488,5.293000221,0.271,0.194999779,0.465999779,1.08254,1.18649,1.222556233,0.79624,0.60809,0.967983007,0.78805,0.70524,0.701288521,0.25883,0.23907,0.255772293,0.0243,0.04002,0.248002976,0.05444,0.18434,0.04310311
