Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017,EconomyAvg_2015,EconomyAvg_2016,EconomyAvg_2017,FamilyAvg_2015,FamilyAvg_2016,FamilyAvg_2017,HealthLifeExpAvg_2015,HealthLifeExpAvg_2016,HealthLifeExpAvg_2017,FreedomAvg_2015,FreedomAvg_2016,FreedomAvg_2017,TrustGovtAvg_2015,TrustGovtAvg_2016,TrustGovtAvg_2017,GenerosityAvg_2015,GenerosityAvg_2016,GenerosityAvg_2017
Thailand,Southeastern Asia,6.455,6.474,6.423999786,-0.019,0.050000214,0.031000214,0.9669,1.0893,1.127868772,1.26504,1.04477,1.425792456,0.7385,0.64915,0.647239029,0.55664,0.49553,0.580200732,0.03187,0.02833,0.57212311,0.5763,0.58696,0.031612735
Indonesia,Southeastern Asia,5.399,5.314,5.262000084,0.085,0.051999916,0.136999916,0.82827,0.95104,0.995538592,1.08708,0.87625,1.274444699,0.63793,0.49374,0.492345721,0.46611,0.39237,0.443323463,0,0.00322,0.611704588,0.51535,0.56521,0.015317135
Singapore,Southeastern Asia,6.798,6.739,6.572000027,0.059,0.166999973,0.225999973,1.52186,1.64555,1.69227767,1.02,0.86758,1.353814363,1.02525,0.94719,0.949492395,0.54252,0.4877,0.549840569,0.4921,0.46987,0.345965981,0.31105,0.32706,0.464307785
Vietnam,Southeastern Asia,5.36,5.061,5.073999882,0.299,-0.012999882,0.286000118,0.63216,0.74037,0.788547575,0.91226,0.79117,1.277491331,0.74676,0.66157,0.652168989,0.59444,0.55954,0.571055591,0.10441,0.11556,0.234968051,0.1686,0.25075,0.087633237
Afghanistan,Southern Asia,3.575,3.36,3.79399991,0.215,-0.43399991,-0.21899991,0.31982,0.38227,0.401477218,0.30285,0.11037,0.581543326,0.30335,0.17344,0.180746779,0.23414,0.1643,0.10617952,0.09719,0.07112,0.311870933,0.3651,0.31268,0.06115783
Bangladesh,Southern Asia,4.694,4.643,4.607999802,0.051,0.035000198,0.086000198,0.39753,0.54177,0.586682975,0.43106,0.24749,0.735131741,0.60164,0.52989,0.533241034,0.4082,0.39778,0.478356659,0.12569,0.12583,0.172255352,0.21222,0.19132,0.123717859
Bhutan,Southern Asia,5.253,5.196,5.011000156,0.057,0.184999844,0.241999844,0.77042,0.8527,0.885416389,1.10395,0.90836,1.340126514,0.57407,0.49759,0.495879292,0.53206,0.46074,0.501537681,0.15445,0.1616,0.474054545,0.47998,0.48546,0.17338039
India,Southern Asia,4.565,4.404,4.315000057,0.161,0.088999943,0.249999943,0.64499,0.74036,0.792221248,0.38174,0.29247,0.754372597,0.51529,0.45091,0.455427617,0.39786,0.40285,0.469987005,0.08492,0.08722,0.231538489,0.26475,0.25028,0.092226885
Nepal,Southern Asia,4.514,4.793,4.961999893,-0.279,-0.168999893,-0.447999893,0.35997,0.44626,0.479820192,0.86449,0.69699,1.179283261,0.56874,0.50073,0.504130781,0.38282,0.37012,0.440305948,0.05907,0.07008,0.394096166,0.32296,0.3816,0.072975546
Pakistan,Southern Asia,5.194,5.132,5.269000053,0.062,-0.137000053,-0.075000053,0.59543,0.68816,0.726883531,0.41411,0.26135,0.67269069,0.51466,0.40306,0.402047783,0.12102,0.14622,0.235215262,0.10464,0.1388,0.315446019,0.33671,0.31185,0.124348067
Sri Lanka,Southern Asia,4.271,4.415,6.402999878,-0.144,-1.987999878,-2.131999878,0.83524,0.97318,1.009850144,1.01905,0.84783,1.259976387,0.70806,0.62007,0.625130832,0.53726,0.50817,0.561213255,0.09179,0.07964,0.490863562,0.40828,0.46978,0.073653966
Liberia,Sub-Saharan Africa,4.571,3.622,3.532999992,0.949,0.089000008,1.038000008,0.0712,0.10706,0.119041793,0.78968,0.50353,0.872117937,0.34201,0.23165,0.229918197,0.28531,0.25748,0.332881182,0.06232,0.04852,0.266549885,0.24362,0.24063,0.038948249
Zimbabwe,Sub-Saharan Africa,4.61,4.193,3.875,0.417,0.318,0.735,0.271,0.35041,0.375846535,1.03276,0.71478,1.083095908,0.33475,0.1595,0.196763754,0.25861,0.25429,0.336384207,0.08079,0.08582,0.189143494,0.18987,0.18503,0.095375381
Zambia,Sub-Saharan Africa,5.129,4.795,4.513999939,0.334,0.281000061,0.615000061,0.47038,0.61202,0.636406779,0.91612,0.6376,1.003187299,0.29924,0.23573,0.257835895,0.48827,0.42662,0.461603492,0.12468,0.11479,0.249580145,0.19591,0.17866,0.07821355
Botswana,Sub-Saharan Africa,4.332,3.974,3.766000032,0.358,0.207999968,0.565999968,0.99355,1.09426,1.122094154,1.10464,0.89186,1.221554995,0.04776,0.34752,0.341755509,0.49495,0.44089,0.505196333,0.12474,0.10769,0.099348448,0.10461,0.12425,0.098583199
Ghana,Sub-Saharan Africa,4.633,4.276,4.119999886,0.357,0.156000114,0.513000114,0.54558,0.63107,0.667224824,0.67954,0.49353,0.873664737,0.40132,0.29681,0.295637727,0.42342,0.40973,0.423026294,0.04355,0.0326,0.256923944,0.23087,0.21203,0.02533637
Tanzania,Sub-Saharan Africa,3.781,3.666,3.348999977,0.115,0.317000023,0.432000023,0.2852,0.47155,0.511135876,1.00268,0.77623,1.041989803,0.38215,0.357,0.364509284,0.32878,0.3176,0.390017778,0.05747,0.05099,0.354256362,0.34377,0.31472,0.066035107
Malawi,Sub-Saharan Africa,4.292,4.156,3.970000029,0.136,0.185999971,0.321999971,0.01604,0.08709,0.233442038,0.41134,0.147,0.512568831,0.22562,0.29364,0.315089583,0.43054,0.4143,0.466914654,0.06977,0.07564,0.28717047,0.33128,0.30968,0.072711654
Angola,Sub-Saharan Africa,4.033,3.866,3.795000076,0.167,0.070999924,0.237999924,0.75778,0.84731,0.85842818,0.8604,0.66366,1.10441196,0.16683,0.04991,0.049868666,0.10384,0.00589,0,0.07122,0.08434,0.09792649,0.12344,0.12071,0.069720335
Congo (Kinshasa),Sub-Saharan Africa,4.517,4.272,4.28000021,0.245,-0.00800021,0.23699979,0,0.05661,0.092102349,1.0012,0.80676,1.229023457,0.09806,0.188,0.191407025,0.22605,0.15602,0.235961348,0.07625,0.06075,0.246455833,0.24834,0.25458,0.060241356
Nigeria,Sub-Saharan Africa,5.268,4.875,5.073999882,0.393,-0.198999882,0.194000118,0.65435,0.75216,0.783756256,0.90432,0.64498,1.215770483,0.16007,0.05108,0.05691573,0.34334,0.27854,0.394952565,0.0403,0.0305,0.230947196,0.27233,0.23219,0.026121566
Guinea,Sub-Saharan Africa,3.656,3.607,3.506999969,0.049,0.100000031,0.149000031,0.17417,0.22415,0.24454993,0.46475,0.3109,0.791244686,0.24009,0.18829,0.194129139,0.37725,0.30953,0.348587513,0.12139,0.1192,0.264815092,0.28657,0.29914,0.110937618
Mauritania,Sub-Saharan Africa,4.436,4.201,4.291999817,0.235,-0.090999817,0.144000183,0.45407,0.61391,0.648457289,0.86908,0.84142,1.27203083,0.35874,0.28639,0.28534928,0.24232,0.1268,0.096098043,0.17461,0.17955,0.201870024,0.219,0.22686,0.136957005
Sudan,Sub-Saharan Africa,4.55,4.139,4.440000057,0.411,-0.301000057,0.109999943,0.52107,0.63069,0.659516692,1.01404,0.81928,1.21400857,0.36878,0.29759,0.290920824,0.10081,0,0.014995855,0.1466,0.10039,0.182317451,0.19062,0.18077,0.08984752
Ethiopia,Sub-Saharan Africa,4.512,4.508,4.460000038,0.004,0.047999962,0.051999962,0.19073,0.29283,0.339233845,0.60406,0.37932,0.864669204,0.44055,0.34578,0.353409708,0.4345,0.36703,0.408842742,0.15048,0.1717,0.31265074,0.24325,0.29522,0.165455714
Madagascar,Sub-Saharan Africa,3.681,3.695,3.644000053,-0.014,0.050999947,0.036999947,0.20824,0.27954,0.305808693,0.66801,0.46115,0.913020372,0.46721,0.37109,0.375223309,0.19184,0.13684,0.189196765,0.08124,0.07506,0.20873253,0.21333,0.2204,0.067231975
Burundi,Sub-Saharan Africa,2.905,2.905,2.904999971,0,0.000000029,0.000000029,0.0153,0.06831,0.091622569,0.41587,0.23442,0.629793584,0.22396,0.15747,0.151610792,0.1185,0.0432,0.059900753,0.10062,0.09419,0.204435185,0.19727,0.2029,0.084147945
Rwanda,Sub-Saharan Africa,3.465,3.515,3.470999956,-0.05,0.044000044,-0.005999956,0.22208,0.32846,0.368745893,0.7737,0.61586,0.945707023,0.42864,0.31865,0.326424807,0.59201,0.5432,0.581843853,0.55191,0.50521,0.252756029,0.22628,0.23552,0.455220014
Somaliland region,Sub-Saharan Africa,5.057,5.057,5.151000023,0,-0.094000023,-0.094000023,0.18847,0.25558,#N/A,0.95152,0.75862,#N/A,0.43873,0.33108,#N/A,0.46582,0.3913,#N/A,0.39928,0.36794,#N/A,0.50318,0.51479,#N/A
Kenya,Sub-Saharan Africa,4.419,4.356,4.552999973,0.063,-0.196999973,-0.133999973,0.36471,0.52267,0.560479462,0.99876,0.7624,1.067950726,0.41435,0.30147,0.30998835,0.42215,0.40576,0.452763766,0.05839,0.06686,0.444860309,0.37542,0.41328,0.064641319
Uganda,Sub-Saharan Africa,3.931,3.739,4.080999851,0.192,-0.341999851,-0.149999851,0.21102,0.34719,0.381430715,1.13299,0.90981,1.129827738,0.33861,0.19625,0.217632607,0.45727,0.43653,0.443185955,0.07267,0.06442,0.325766057,0.29066,0.27102,0.057069719
Mauritius,Sub-Saharan Africa,5.477,5.648,5.629000187,-0.171,0.018999813,-0.152000187,1.00761,1.14372,1.189395547,0.98521,0.75695,1.20956099,0.7095,0.66189,0.638007462,0.56066,0.46145,0.491247326,0.07521,0.05203,0.360933751,0.37744,0.36951,0.042181555
Niger,Sub-Saharan Africa,3.845,3.856,4.027999878,-0.011,-0.171999878,-0.182999878,0.0694,0.1327,0.161925331,0.77265,0.6053,0.993025005,0.29707,0.26162,0.268505007,0.47692,0.38041,0.363658696,0.15639,0.17176,0.228673846,0.19387,0.2097,0.138572946
South Africa,Sub-Saharan Africa,4.642,4.459,4.828999996,0.183,-0.369999996,-0.186999996,0.92049,1.02416,1.054698706,1.18468,0.96053,1.384788632,0.27688,0.18611,0.18708007,0.33207,0.42483,0.479246736,0.08884,0.08415,0.13936238,0.11973,0.13656,0.072509497
Mali,Sub-Saharan Africa,3.995,4.073,4.190000057,-0.078,-0.117000057,-0.195000057,0.26074,0.31292,0.476180494,1.03526,0.86333,1.281473398,0.20583,0.16347,0.169365674,0.38857,0.27544,0.306613743,0.12352,0.13647,0.183354199,0.18798,0.21064,0.104970247
Sierra Leone,Sub-Saharan Africa,4.507,4.635,4.709000111,-0.128,-0.074000111,-0.202000111,0.33024,0.36485,0.368420929,0.95571,0.628,0.984136045,0,0,0.005564754,0.4084,0.30685,0.318697691,0.08786,0.08196,0.293040901,0.21488,0.23897,0.071095176
Chad,Sub-Saharan Africa,3.667,3.763,3.936000109,-0.096,-0.173000109,-0.269000109,0.34193,0.42214,0.438012987,0.76062,0.63178,0.953855872,0.1501,0.03824,0.041134715,0.23501,0.12807,0.162342027,0.05269,0.04952,0.21611385,0.18386,0.18667,0.053581882
Congo (Brazzaville),Sub-Saharan Africa,3.989,4.236,4.290999889,-0.247,-0.054999889,-0.301999889,0.67866,0.77109,0.808964252,0.6629,0.47799,0.832044363,0.31051,0.28212,0.289957434,0.41466,0.37938,0.435025871,0.11686,0.09753,0.120852128,0.12388,0.12077,0.079618134
Benin,Sub-Saharan Africa,3.34,3.484,3.657000065,-0.144,-0.173000065,-0.317000065,0.28665,0.39499,0.431085408,0.35386,0.10419,0.435299844,0.3191,0.21028,0.209930211,0.4845,0.39747,0.425962776,0.0801,0.06681,0.207948461,0.1826,0.2018,0.060929015
Cameroon,Sub-Saharan Africa,4.252,4.513,4.695000172,-0.261,-0.182000172,-0.443000172,0.4225,0.52497,0.564305365,0.88767,0.62542,0.946018219,0.23402,0.12698,0.132892117,0.49309,0.42736,0.430388749,0.05786,0.06126,0.236298457,0.20618,0.2268,0.051306631
Burkina Faso,Sub-Saharan Africa,3.587,3.739,4.032000065,-0.152,-0.293000065,-0.445000065,0.25812,0.31995,0.350227714,0.85188,0.63054,1.043280005,0.27125,0.21297,0.215844259,0.39493,0.3337,0.324367851,0.12832,0.12533,0.250864685,0.21747,0.24353,0.120328106
Ivory Coast,Sub-Saharan Africa,3.655,3.916,4.179999828,-0.261,-0.263999828,-0.524999828,0.46534,0.55507,0.603048921,0.77115,0.57576,0.90478003,0.15185,0.04476,0.04864217,0.46866,0.40663,0.447706193,0.17922,0.1553,0.20123747,0.20165,0.20338,0.130061775
Gabon,Sub-Saharan Africa,3.896,4.121,4.465000153,-0.225,-0.344000153,-0.569000153,1.06024,1.15851,1.198210239,0.90528,0.72368,1.155620217,0.43372,0.3494,0.356578588,0.31914,0.28098,0.312328577,0.11091,0.09314,0.043785378,0.06822,0.06244,0.076046787
Senegal,Sub-Saharan Africa,3.904,4.219,4.534999847,-0.315,-0.315999847,-0.630999847,0.36498,0.44314,0.479309022,0.97619,0.77416,1.179691911,0.4354,0.40457,0.409362853,0.36772,0.31056,0.377922267,0.10713,0.11681,0.183468893,0.20843,0.19103,0.115460448
Togo,Sub-Saharan Africa,2.839,3.303,3.494999886,-0.464,-0.191999886,-0.655999886,0.20868,0.28123,0.305444717,0.13995,0,0.43188253,0.28443,0.24811,0.247105569,0.36453,0.34678,0.380426139,0.10731,0.11587,0.196896151,0.16681,0.17517,0.095665015
Austria,Western Europe,7.2,7.119,7.006000042,0.081,0.112999958,0.193999958,1.33723,1.45038,1.487097263,1.29704,1.08383,1.459944963,0.89042,0.80565,0.815328419,0.62433,0.54355,0.56776619,0.18676,0.21348,0.316472322,0.33088,0.32865,0.221060365
Belgium,Western Europe,6.937,6.929,6.890999794,0.008,0.038000206,0.046000206,1.30782,1.42539,1.463780761,1.28566,1.05249,1.462312698,0.89667,0.81959,0.818091869,0.5845,0.51354,0.539770722,0.2254,0.26248,0.231503338,0.2225,0.2424,0.251343131
Cyprus,Western Europe,5.689,5.546,5.620999813,0.143,-0.074999813,0.068000187,1.20813,1.31857,1.355938077,0.89318,0.70697,1.131363273,0.92356,0.8488,0.844714701,0.40672,0.29507,0.355111539,0.06146,0.05228,0.271254301,0.30638,0.27906,0.041237976
Denmark,Western Europe,7.527,7.526,7.521999836,0.001,0.004000164,0.005000164,1.32548,1.44178,1.482383013,1.36058,1.16374,1.551121593,0.87464,0.79504,0.792565525,0.64938,0.57941,0.626006722,0.48357,0.44453,0.355280489,0.34139,0.36171,0.400770068
Finland,Western Europe,7.406,7.413,7.468999863,-0.007,-0.055999863,-0.062999863,1.29025,1.40598,1.443571925,1.31826,1.13464,1.540246725,0.88911,0.81091,0.80915767,0.64169,0.57104,0.617950857,0.41372,0.41004,0.245482773,0.23351,0.25492,0.382611543
France,Western Europe,6.575,6.478,6.441999912,0.097,0.036000088,0.133000088,1.27778,1.39488,1.430923462,1.26038,1.00508,1.387776852,0.94579,0.83795,0.844465852,0.55011,0.46562,0.470222116,0.20646,0.17808,0.129762307,0.12332,0.1216,0.172502428
Germany,Western Europe,6.75,6.994,6.951000214,-0.244,0.042999786,-0.201000214,1.32792,1.44787,1.487923384,1.29937,1.09774,1.472520351,0.89186,0.81487,0.798950732,0.61477,0.53466,0.562511384,0.21843,0.28551,0.33626917,0.28214,0.30452,0.276731938
Greece,Western Europe,4.857,5.033,5.227000237,-0.176,-0.194000237,-0.370000237,1.15406,1.24886,1.289487481,0.92933,0.75473,1.239414573,0.88213,0.80029,0.810198903,0.07699,0.05822,0.095731251,0.01397,0.04127,0,0,0,0.043289777
Iceland,Western Europe,7.561,7.501,7.504000187,0.06,-0.003000187,0.056999813,1.30232,1.42666,1.48063302,1.40223,1.18326,1.610574007,0.94784,0.86733,0.833552122,0.62877,0.56624,0.627162635,0.14145,0.14975,0.475540221,0.4363,0.47678,0.153526559
Ireland,Western Europe,6.94,6.907,6.977000237,0.033,-0.070000237,-0.037000237,1.33596,1.48341,1.535706639,1.36948,1.16157,1.558231115,0.89533,0.81455,0.809782624,0.61777,0.54008,0.573110342,0.28703,0.29754,0.427858323,0.45901,0.44963,0.298388153
Italy,Western Europe,5.948,5.977,5.964000225,-0.029,0.012999775,-0.016000225,1.25114,1.35495,1.395066619,1.19777,1.04167,1.444923282,0.95446,0.85102,0.853144348,0.26236,0.18827,0.256450713,0.02901,0.02556,0.172789648,0.22823,0.16684,0.028028091
Luxembourg,Western Europe,6.946,6.871,6.862999916,0.075,0.008000084,0.083000084,1.56391,1.69752,1.741943598,1.21963,1.03999,1.457583666,0.91894,0.84542,0.845089495,0.61583,0.5487,0.596627891,0.37798,0.35329,0.283180982,0.28034,0.27571,0.318834424
Malta,Western Europe,6.302,6.488,6.52699995,-0.186,-0.03899995,-0.22499995,1.2074,1.30782,1.343279839,1.30203,1.09879,1.488411665,0.88721,0.80315,0.821944237,0.60365,0.54994,0.588767052,0.13586,0.17554,0.574730575,0.51752,0.56237,0.153066069
Netherlands,Western Europe,7.378,7.339,7.376999855,0.039,-0.037999855,0.001000145,1.32944,1.46468,1.503944635,1.28017,1.02912,1.428939223,0.89284,0.81231,0.810696125,0.61576,0.55211,0.585384488,0.31814,0.29927,0.47048983,0.4761,0.47416,0.282661825
North Cyprus,Western Europe,5.695,5.771,5.809999943,-0.076,-0.038999943,-0.114999943,1.20806,1.31141,1.346911311,1.07008,0.81826,1.186303377,0.92356,0.84142,0.834647238,0.49027,0.43596,0.471203625,0.1428,0.16578,0.266845703,0.26169,0.26322,0.155353352
Norway,Western Europe,7.522,7.498,7.537000179,0.024,-0.039000179,-0.015000179,1.459,1.57744,1.616463184,1.33095,1.1269,1.53352356,0.88521,0.79579,0.796666503,0.66973,0.59609,0.635422587,0.36503,0.35776,0.362012237,0.34699,0.37895,0.315963835
Portugal,Western Europe,5.102,5.123,5.195000172,-0.021,-0.072000172,-0.093000172,1.15991,1.27607,1.315175295,1.13935,0.94367,1.367043018,0.87519,0.79363,0.795843542,0.51469,0.44727,0.4984653,0.01078,0.01521,0.095102713,0.13719,0.11691,0.015869452
Spain,Western Europe,6.329,6.361,3.59100008,-0.032,2.76999992,2.73799992,1.23011,1.34253,1.384397864,1.31379,1.12945,1.532090902,0.95562,0.87896,0.8889606,0.45951,0.37545,0.40878123,0.06398,0.06137,0.190133572,0.18227,0.17665,0.070914097
Sweden,Western Europe,7.364,7.291,7.28399992,0.073,0.00700008,0.08000008,1.33171,1.45181,1.494387269,1.28907,1.08764,1.478162169,0.91087,0.83121,0.830875158,0.6598,0.58218,0.612924099,0.43844,0.40867,0.385399252,0.36262,0.38254,0.384398729
Switzerland,Western Europe,7.587,7.509,7.493999958,0.078,0.015000042,0.093000042,1.39651,1.52733,1.564979553,1.34951,1.14524,1.516911745,0.94143,0.86303,0.858131289,0.66557,0.58557,0.620070577,0.41978,0.41203,0.290549278,0.29678,0.28083,0.367007285
United Kingdom,Western Europe,6.867,6.725,6.714000225,0.142,0.010999775,0.152999775,1.26637,1.40283,1.44163394,1.28548,1.08672,1.49646008,0.90943,0.80991,0.805335939,0.59625,0.50036,0.508190036,0.32067,0.27399,0.492774159,0.51912,0.50156,0.265428066
