Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017
Jordan,Middle East and Northern Africa,5.192,5.303,5.335999966,-0.111,-0.032999966,-0.143999966
Kazakhstan,Central and Eastern Europe,5.855,5.919,5.818999767,-0.064,0.100000233,0.036000233
Kenya,Sub-Saharan Africa,4.419,4.356,4.552999973,0.063,-0.196999973,-0.133999973
Kosovo,Central and Eastern Europe,5.589,5.401,5.278999805,0.188,0.122000195,0.310000195
Kuwait,Middle East and Northern Africa,6.295,6.239,6.105000019,0.056,0.133999981,0.189999981
Kyrgyzstan,Central and Eastern Europe,5.286,5.185,5.004000187,0.101,0.180999813,0.281999813
Latvia,Central and Eastern Europe,5.098,5.56,5.849999905,-0.462,-0.289999905,-0.751999905
Lebanon,Middle East and Northern Africa,4.839,5.129,5.224999905,-0.29,-0.095999905,-0.385999905
Liberia,Sub-Saharan Africa,4.571,3.622,3.532999992,0.949,0.089000008,1.038000008
Libya,Middle East and Northern Africa,5.754,5.615,5.525000095,0.139,0.089999905,0.228999905
Lithuania,Central and Eastern Europe,5.833,5.813,5.90199995,0.02,-0.08899995,-0.06899995
Luxembourg,Western Europe,6.946,6.871,6.862999916,0.075,0.008000084,0.083000084
Macedonia,Central and Eastern Europe,5.007,5.121,5.175000191,-0.114,-0.054000191,-0.168000191
Madagascar,Sub-Saharan Africa,3.681,3.695,3.644000053,-0.014,0.050999947,0.036999947
Malawi,Sub-Saharan Africa,4.292,4.156,3.970000029,0.136,0.185999971,0.321999971
Malaysia,Southeastern Asia,5.77,6.005,6.084000111,-0.235,-0.079000111,-0.314000111
Mali,Sub-Saharan Africa,3.995,4.073,4.190000057,-0.078,-0.117000057,-0.195000057
Malta,Western Europe,6.302,6.488,6.52699995,-0.186,-0.03899995,-0.22499995
Mauritania,Sub-Saharan Africa,4.436,4.201,4.291999817,0.235,-0.090999817,0.144000183
Mauritius,Sub-Saharan Africa,5.477,5.648,5.629000187,-0.171,0.018999813,-0.152000187
Mexico,Latin America and Caribbean,7.187,6.778,6.578000069,0.409,0.199999931,0.608999931
Moldova,Central and Eastern Europe,5.889,5.897,5.837999821,-0.008,0.059000179,0.051000179
Mongolia,Eastern Asia,4.874,4.907,4.954999924,-0.033,-0.047999924,-0.080999924
Montenegro,Central and Eastern Europe,5.192,5.161,5.236999989,0.031,-0.075999989,-0.044999989
Morocco,Middle East and Northern Africa,5.013,5.151,5.235000134,-0.138,-0.084000134,-0.222000134
Myanmar,Southeastern Asia,4.307,4.395,4.545000076,-0.088,-0.150000076,-0.238000076
Nepal,Southern Asia,4.514,4.793,4.961999893,-0.279,-0.168999893,-0.447999893
Netherlands,Western Europe,7.378,7.339,7.376999855,0.039,-0.037999855,0.001000145
New Zealand,Australia and New Zealand,7.286,7.334,7.31400013,-0.048,0.01999987,-0.02800013
Nicaragua,Latin America and Caribbean,5.828,5.992,6.071000099,-0.164,-0.079000099,-0.243000099
Niger,Sub-Saharan Africa,3.845,3.856,4.027999878,-0.011,-0.171999878,-0.182999878
Nigeria,Sub-Saharan Africa,5.268,4.875,5.073999882,0.393,-0.198999882,0.194000118
North Cyprus,Western Europe,5.695,5.771,5.809999943,-0.076,-0.038999943,-0.114999943
Norway,Western Europe,7.522,7.498,7.537000179,0.024,-0.039000179,-0.015000179
Pakistan,Southern Asia,5.194,5.132,5.269000053,0.062,-0.137000053,-0.075000053
Palestinian Territories,Middle East and Northern Africa,4.715,4.754,4.775000095,-0.039,-0.021000095,-0.060000095
Panama,Latin America and Caribbean,6.786,6.701,6.452000141,0.085,0.248999859,0.333999859
Paraguay,Latin America and Caribbean,5.878,5.538,5.493000031,0.34,0.044999969,0.384999969
Peru,Latin America and Caribbean,5.824,5.743,5.715000153,0.081,0.027999847,0.108999847
Philippines,Southeastern Asia,5.073,5.279,5.429999828,-0.206,-0.150999828,-0.356999828
Poland,Central and Eastern Europe,5.791,5.835,5.97300005,-0.044,-0.13800005,-0.18200005
Portugal,Western Europe,5.102,5.123,5.195000172,-0.021,-0.072000172,-0.093000172
Qatar,Middle East and Northern Africa,6.611,6.375,6.375,0.236,0,0.236
Romania,Central and Eastern Europe,5.124,5.528,5.824999809,-0.404,-0.296999809,-0.700999809
Russia,Central and Eastern Europe,5.716,5.856,5.962999821,-0.14,-0.106999821,-0.246999821
Rwanda,Sub-Saharan Africa,3.465,3.515,3.470999956,-0.05,0.044000044,-0.005999956
Saudi Arabia,Middle East and Northern Africa,6.411,6.379,6.343999863,0.032,0.035000137,0.067000137
Senegal,Sub-Saharan Africa,3.904,4.219,4.534999847,-0.315,-0.315999847,-0.630999847
Serbia,Central and Eastern Europe,5.123,5.177,5.394999981,-0.054,-0.217999981,-0.271999981
Sierra Leone,Sub-Saharan Africa,4.507,4.635,4.709000111,-0.128,-0.074000111,-0.202000111
Singapore,Southeastern Asia,6.798,6.739,6.572000027,0.059,0.166999973,0.225999973
Slovakia,Central and Eastern Europe,5.995,6.078,6.09800005,-0.083,-0.02000005,-0.10300005
Slovenia,Central and Eastern Europe,5.848,5.768,5.757999897,0.08,0.010000103,0.090000103
Somaliland region,Sub-Saharan Africa,5.057,5.057,5.151000023,0,-0.094000023,-0.094000023
South Africa,Sub-Saharan Africa,4.642,4.459,4.828999996,0.183,-0.369999996,-0.186999996
South Korea,Eastern Asia,5.984,5.835,5.837999821,0.149,-0.002999821,0.146000179
Spain,Western Europe,6.329,6.361,3.59100008,-0.032,2.76999992,2.73799992
Sri Lanka,Southern Asia,4.271,4.415,6.402999878,-0.144,-1.987999878,-2.131999878
Sudan,Sub-Saharan Africa,4.55,4.139,4.440000057,0.411,-0.301000057,0.109999943
Suriname,Latin America and Caribbean,6.269,6.269,4.138999939,0,2.130000061,2.130000061
Sweden,Western Europe,7.364,7.291,7.28399992,0.073,0.00700008,0.08000008
Switzerland,Western Europe,7.587,7.509,7.493999958,0.078,0.015000042,0.093000042
Syria,Middle East and Northern Africa,3.006,3.069,3.461999893,-0.063,-0.392999893,-0.455999893
Taiwan,Eastern Asia,6.298,6.379,6.421999931,-0.081,-0.042999931,-0.123999931
Tajikistan,Central and Eastern Europe,4.786,4.996,5.040999889,-0.21,-0.044999889,-0.254999889
Tanzania,Sub-Saharan Africa,3.781,3.666,3.348999977,0.115,0.317000023,0.432000023
Thailand,Southeastern Asia,6.455,6.474,6.423999786,-0.019,0.050000214,0.031000214
Togo,Sub-Saharan Africa,2.839,3.303,3.494999886,-0.464,-0.191999886,-0.655999886
Trinidad and Tobago,Latin America and Caribbean,6.168,6.168,6.168000221,0,-2.21E-07,-2.21E-07
Tunisia,Middle East and Northern Africa,4.739,5.045,4.804999828,-0.306,0.240000172,-0.065999828
Turkey,Middle East and Northern Africa,5.332,5.389,5.5,-0.057,-0.111,-0.168
Turkmenistan,Central and Eastern Europe,5.548,5.658,5.822000027,-0.11,-0.164000027,-0.274000027
Uganda,Sub-Saharan Africa,3.931,3.739,4.080999851,0.192,-0.341999851,-0.149999851
Ukraine,Central and Eastern Europe,4.681,4.324,4.096000195,0.357,0.227999805,0.584999805
United Arab Emirates,Middle East and Northern Africa,6.901,6.573,6.647999763,0.328,-0.074999763,0.253000237
United Kingdom,Western Europe,6.867,6.725,6.714000225,0.142,0.010999775,0.152999775
United States,North America,7.119,7.104,6.993000031,0.015,0.110999969,0.125999969
Uruguay,Latin America and Caribbean,6.485,6.545,6.453999996,-0.06,0.091000004,0.031000004
Uzbekistan,Central and Eastern Europe,6.003,5.987,5.971000195,0.016,0.015999805,0.031999805
Venezuela,Latin America and Caribbean,6.81,6.084,5.25,0.726,0.834,1.56
Vietnam,Southeastern Asia,5.36,5.061,5.073999882,0.299,-0.012999882,0.286000118
Yemen,Middle East and Northern Africa,4.077,3.724,3.592999935,0.353,0.131000065,0.484000065
Zambia,Sub-Saharan Africa,5.129,4.795,4.513999939,0.334,0.281000061,0.615000061
Zimbabwe,Sub-Saharan Africa,4.61,4.193,3.875,0.417,0.318,0.735
